Region	Month of Period End	Median Sale Price	Median Sale Price MoM 	Median Sale Price YoY 	Homes Sold	Homes Sold MoM 	Homes Sold YoY 	New Listings	New Listings MoM 	New Listings YoY 	Inventory	Inventory MoM 	 Inventory YoY 	Days on Market	Days on Market MoM	Days on Market YoY	Average Sale To List	Average Sale To List MoM 	Average Sale To List YoY 
Alabama	January 2012	$127K	-6.7%	-4.5%	558	-14.8%	4.9%	1,076	53.1%	-6.2%	6,176	3.1%	-7.1%	148	5	-26	93.3%	0.1%	-0.3%
Alabama	February 2012	$153K	7.6%	5.2%	1,235	18.8%	84.9%	1,825	2.3%	54.5%	9,985	2.2%	30.7%	149	5	-23	95.1%	0.2%	1.4%
Alabama	March 2012	$139K	2.0%	2.7%	1,687	16.2%	116.0%	2,476	19.4%	59.7%	11,190	3.4%	38.7%	129	-12	-28	94.8%	0.2%	1.1%
Alabama	April 2012	$147K	5.6%	4.2%	1,815	7.5%	108.1%	2,511	1.2%	81.3%	11,567	3.4%	43.3%	122	-7	-55	95.3%	0.5%	0.6%
Alabama	May 2012	$155K	11.0%	3.4%	1,671	13.0%	95.2%	1,995	-7.1%	46.0%	10,131	-0.6%	25.1%	117	-8	-43	95.7%	0.8%	1.2%
Alabama	June 2012	$164K	0.0%	9.5%	1,250	-5.5%	35.3%	1,667	-2.0%	20.1%	8,956	-0.3%	15.2%	116	-8	-34	95.5%	0.0%	0.9%
Alabama	July 2012	$154K	-2.5%	3.1%	1,522	-11.1%	72.6%	1,939	-3.8%	44.7%	10,349	0.0%	28.3%	116	6	-54	95.2%	-0.4%	1.0%
Alabama	August 2012	$158K	1.1%	12.1%	995	7.5%	12.0%	1,372	-2.2%	7.5%	7,806	-1.1%	6.4%	151	22	11	94.9%	0.4%	0.8%
Alabama	September 2012	$145K	-4.2%	3.7%	1,275	-17.2%	70.9%	1,548	-14.5%	28.5%	9,222	-0.5%	20.9%	124	-7	-16	95.4%	-0.1%	1.5%
Alabama	October 2012	$150K	1.7%	7.3%	758	3.4%	5.6%	1,117	10.2%	11.1%	6,710	0.2%	6.3%	139	5	-10	94.3%	-0.4%	0.5%
Alabama	November 2012	$160K	3.4%	10.9%	971	-13.2%	45.1%	1,266	-15.8%	9.2%	8,406	-0.2%	9.9%	135	3	-43	94.9%	-0.2%	0.9%
Alabama	December 2012	$160K	5.2%	16.2%	1,143	-0.1%	77.2%	1,069	-22.5%	2.2%	8,559	-3.8%	4.2%	124	-5	-22	95.4%	0.1%	2.0%
Alabama	January 2013	$131K	-15.9%	4.4%	1,960	-11.2%	11.8%	3,201	67.8%	17.0%	14,440	6.3%	7.7%	141	20	14	94.5%	-0.8%	0.2%
